Unnamed: 0,pubmed_id,Title,CreatedDate,Abstract
0,34281299,Management of large perforations of the sinus mucosa with PRGF-Endoret(R) platelet concentrate.,['2021/07/20 04:48'],aim present study describe new technique possible complete maxillary sinus lift procedure even case severe damage complete removal sinus mucosa using prgfendoretr platelet concentrate eighteen patients ratio fm45 average age 582 years ds 885 years severe perforation 10 millimetres diameter sinus mucosa maxillary sinus lift procedure selected normally procedure interrupted due impossible stabilization graft material inside subantral cavity contrary protocol foreseen sealing perforation using prgf autologous gel membranes creation new sinus pseudomembrane graft material covered prgfendoret obtained according protocol developed bti biotechnology institute vitoria spain 14 cases 18 implant fixtures concurrently inserted 4 cases fixture insertion postponed 6 months 37 fixtures inserted 27 time 10 6 months 2 months surgery cbct showed correct pneumatization maxillary sinus 16 patients 18 89 cases 12 months radiological normalization maxillary sinus present 17 patients 18 bringing healing rate 94 cases regarding implant healing 2 37 implants inserted lost first month surgical phase whereas 12 months prosthesis application 35 implants perfectly osteointegrated healing rate equal 946 fixtures 36 months surgery fixtures osteointegrated 35 37 implants percentage 946 success may conclude use prgf allowed complete sinus lift even case severe perforation sinus mucosa total removal thanks capability stabilize graft antibacterial antifungal activity anabolic effect favouring bone regeneration
1,34143970,"Avelumab alone or in combination with chemotherapy versus chemotherapy alone in platinum-resistant or platinum-refractory ovarian cancer (JAVELIN Ovarian 200): an open-label, three-arm, randomised, phase 3 study.",['2021/06/18 20:10'],background patients ovarian cancer relapse receiving frontline platinumbased chemotherapy eventually develop platinumresistant platinumrefractory disease report results avelumab alone avelumab plus pegylated liposomal doxorubicin pld compared pld alone patients platinumresistant platinumrefractory ovarian cancer methods javelin ovarian 200 openlabel parallelgroup threearm randomised phase 3 trial done 149 hospitals cancer treatment centres 24 countries eligible patients aged 18 years older epithelial ovarian fallopian tube peritoneal cancer maximum three previous lines platinumsensitive disease none platinumresistant disease eastern cooperative oncology group performance status 0 1 patients randomly assigned 111 via interactive response technology avelumab 10 mgkg intravenously every 2 weeks avelumab plus pld 40 mgm2 intravenously every 4 weeks pld stratified disease platinum status number previous anticancer regimens bulky disease primary endpoints progressionfree survival blinded independent central review overall survival randomly assigned patients objective show whether avelumab alone avelumab plus pld superior pld safety assessed patients received least one dose study treatment trial registered clinicaltrialsgov nct02580058 trial longer enrolling patients final analysis primary endpoints findings jan 5 2016 may 16 2017 566 patients enrolled randomly assigned combination n188 pld n190 avelumab n188 data cutoff sept 19 2018 median duration followup overall survival 184 months iqr 156219 combination group 174 months 152213 pld group 182 months 158212 avelumab group median progressionfree survival blinded independent central review 37 months 95 ci 3351 combination group 35 months 2140 pld group 19 months 1819 avelumab group combination vs pld stratified hr 078 repeated 931 ci 059124 onesided p0030 avelumab vs pld 168 132260 onesided p099 median overall survival 157 months 95 ci 127187 combination group 131 months 118155 pld group 118 months 89141 avelumab group combination vs pld stratified hr 089 repeated 8885 ci 074124 onesided p021 avelumab vs pld 114 095158 onesided p083 common grade 3 worse treatmentrelated adverse events palmarplantar erythrodysesthesia syndrome 18 10 combination group vs nine 5 pld group vs none avelumab group rash 11 6 vs three 2 vs none fatigue ten 5 vs three 2 vs none stomatitis ten 5 vs five 3 vs none anaemia six 3 vs nine 5 vs three 2 neutropenia nine 5 vs nine 5 vs none neutrophil count decreased eight 5 vs seven 4 vs none serious treatmentrelated adverse events occurred 32 18 patients combination group 19 11 pld group 14 7 avelumab group treatmentrelated adverse events resulted death one patient pld group sepsis avelumab group intestinal obstruction interpretation neither avelumab plus pld avelumab alone significantly improved progressionfree survival overall survival versus pld results provide insights patient selection future studies immune checkpoint inhibitors platinumresistant platinumrefractory ovarian cancer funding pfizer merck kgaa darmstadt germany
2,34122682,"The Effect of Combined Vitamin C and Vitamin E Supplementation on Oxidative Stress Markers in Women with Endometriosis: A Randomized, Triple-Blind Placebo-Controlled Clinical Trial.",['2021/06/14 09:39'],background endometriosis chronic estrogendependent pelvic inflammatory disease may various causes oxidative stress dysmenorrhea dyspareunia pelvic pain wellknown symptoms endometriosis present clinical trial assessed role supplementation antioxidant vitamins indices oxidative stress well severity pain women endometriosis materials methods enrolled 60 reproductiveaged 1545 years women pelvic pain tripleblind clinical trial 13 stages laparoscopicproven endometriosis participants randomized group n 30 given vitamin c 1000 mgday 2 tablets 500 mg vitamin e 800 iuday 2 tablets 400 iu combination group b n 30 given placebo pills daily 8 weeks results following treatment vitamin c vitamin e found significant reduction mda ros compared placebo group significant decline total antioxidant capacity treatment however severity pelvic pain p value 0001 dysmenorrhea p value 0001 dyspareunia p value 0001 significantly decreased treatment group 8 weeks supplementation conclusions present findings support potential role antioxidants management endometriosis intake vitamin c vitamin e supplements effectively reduced dysmenorrhea severity improved dyspareunia severity pelvic pain
3,34082142,"Effect of fresh pomegranate juice on the pharmacokinetic profile of artemether: An open-label, randomized, 2- period crossover study in healthy human volunteers.",['2021/06/03 20:17'],study designed evaluate effect fresh pomegranate punica granatum l juice pharmacokinetic profile artemether healthy volunteers randomized openlabel crossover study conducted healthy subjects n 26 volunteer received 250 ml fresh pomegranate juice twice daily 2 weeks day 14 administered single oral dose artemether 80 mg either water 250 ml pomegranate juice thirteen blood samples collected 12 h 6 electrocardiograms recorded plasma concentrations artemether metabolite dihydroartemisinin analyzed noncompartmental method using lcmsms lower limit detection llod lower limit quantification lloq artemether estimated 03 08 ngml respectively dihydroartemisinin 02 06 ngml respectively pharmacokinetic parameters artemether dihydroartemisinin significantly altered coadministered fresh pomegranate juice auc 0infinity slightly increased 742 859 ngml artemether geometric mean ratio 114 95 ci 108118 p 045 699 818 ngml dihydroartemisinin geometric mean ratio 115 95 ci 109 115 p 04 difference cmax artemether also statistically nonsignificant 173 vs 195 ngml geometric mean ratio 109 95 ci 091 115 p 061 likewise elimination halflife t12 artemether dihydroartemisinin remained unchanged p 043 031 respectively addition significant difference tmax artemether p 066 metabolite p 065 conclusion findings present study demonstrated administration pomegranate juice significant effect pharmacokinetic profile artemether
4,34081625,The effects of psyllium husk on gut microbiota composition and function in chronically constipated women of reproductive age using 16S rRNA gene sequencing analysis.,['2021/06/03 17:16'],chronic constipation common gastrointestinal disorder occurs elderly women psyllium husk widely used treat condition recent studies shown psyllium husk improve clinical symptoms constipation regulating gut microbiota clinical effects potential mechanisms constipated women reproductive age previously investigated compared fecal microbiota treatment placebo n 29 psyllium husk n 25 using 16s ribosomal ribonucleic acid rrna gene sequencing analysis psyllium husk relieved symptoms constipated women reproductive age sequencing results showed psyllium husk group exhibited different gut microbiota composition compared placebo group moreover network analysis indicated significant correlations clustering operational taxonomic units otus psyllium husk group kyoto encyclopedia genes genomes kegg annotation analysis showed relative abundances metabolismrelated kegg pathways enriched psyllium husk group conclusion findings suggest composition gut microbiota altered symptoms constipation alleviated via psyllium husk intervention changes metabolic function might related constipation furthermore studies warranted elucidate potential metabolic mechanisms contributing chronic constipation
5,34079535,Innate Lymphoid Cells Activation and Transcriptomic Changes in Response to Human Dengue Infection.,['2021/06/03 06:40'],background dengue virus denv infection global impact public health clinical outcomes denv vary flulike illness called dengue fever df severe form known dengue hemorrhagic fever dhf underlying innate immune mechanisms leading protective detrimental outcomes fully elucidated helper innate lymphoid cells hilcs innate lymphocyte recently discovered functionally resemble thelper cells important inflammation homeostasis however role hilcs denv infection unexplored methods performed flow cytometry investigate frequency phenotype hilcs peripheral blood mononuclear cells denvinfected patients different disease severities df dhf different phases febrile convalescence infection intracellular cytokine staining hilcs df dhf also evaluated flow cytometry ex vivo stimulation hilcs sorted subjected transcriptome analysis using rna sequencing differential gene expression analysis performed compare febrile convalescent phase samples df dhf selected differentially expressed genes validated quantitative pcr results phenotypic analysis showed marked activation three hilc subsets febrile phase shown higher cd69 expression compared paired convalescent samples although frequency hilcs remained unchanged upon ex vivo stimulation hilcs febrile phase dhf produced significantly higher ifngamma il4 compared df transcriptomic analysis showed unique hilcs gene expression df dhf suggesting divergent functions hilcs may associated different disease severities differential gene expression analysis indicated hilcs function cytokine secretion cytotoxicity febrile phase denv infection conclusions helper ilcs activated febrile phase denv infection display unique transcriptomic changes well cytokine production correlate severity targeting hilcs early innate response denv might help shape subsequent immune responses potentially lessen disease severity future
6,34078408,Planned early delivery for late preterm pre-eclampsia in a low- and middle-income setting: a feasibility study.,['2021/06/03 05:42'],background preeclampsia leading cause maternal perinatal mortality morbidity globally planned delivery 340 366 weeks may reduce adverse pregnancy outcomes yet evaluated low middleincome setting prior designing randomised controlled trial evaluate india zambia carried 6month feasibility study order better understand proposed trial environment guide development intervention methods used mixed methods understand disease burden current management preeclampsia proposed trial sites explore acceptability intervention undertook case notes review women preeclampsia delivered proposed trial sites 3month period alongside facilitating focus group discussions women partners conducting semistructured interviews healthcare providers descriptive statistics used analyse audit data thematic framework analysis used qualitative data results case notes data n 326 showed settings 195 n 44 women preeclampsia delivering beyond 34 weeks experienced adverse outcome women delivering 340 366 weeks similar numbers antenatal stillbirths n 3 33 neonatal deaths n 3 34 median infant birthweight 22 kg 19 kg zambia india respectively lived experience women healthcare providers important facilitator proposed intervention highlighting serious consequences preeclampsia preference spontaneous labour limited neonatal resources identified potential barriers conclusions study demonstrated clear need evaluate intervention highlighted several challenges relating trial context enabled us adapt protocol design acceptable intervention study demonstrates importance assessing feasibility developing complex interventions particularly lowresource setting additionally provides unique insight management preeclampsia trial settings understanding knowledge attitudes beliefs underpinning acceptability planned early delivery
7,34069412,COVID-19 Disease Severity and Death in Relation to Vitamin D Status among SARS-CoV-2-Positive UAE Residents.,['2021/06/02 01:25'],insufficient blood levels neurohormone vitamin associated increased risk covid19 severity mortality despite global rollout vaccinations promising preliminary results focus remains additional preventive measures manage covid19 results conflict vitamin ds plausible role preventing treating covid19 examined relation vitamin status covid19 severity mortality among multiethnic population united arab emirates observational study used data 522 participants tested positive sarscov2 one main hospitals abu dhabi dubai 464 patients included data analysis demographic clinical data retrospectively analyzed serum samples immediately drawn first hospital visit used measure serum 25hydroxyvitamin 25ohd concentrations automated electrochemiluminescence levels 12 ngml significantly associated higher risk severe covid19 infection death age independent risk factor whereas comorbidities smoking contribute outcomes upon adjustment sex patients important predictor severity death study first conducted uae measure 25ohd levels sarscov2positive patients confirm association levels 12 ngml covid19 severity mortality
8,34037760,"Efficacy and safety of sofosbuvir/velpatasvir versus the standard of care in adults hospitalized with COVID-19: a single-centre, randomized controlled trial.",['2021/05/26 12:34'],objectives severe acute respiratory syndrome coronavirus 2 sarscov2 responsible covid19 pandemic majority patients experience asymptomatic mild selflimited disease cases progress respiratory multiorgan failure however far approved antiviral therapy available treatment covid19 sofosbuvirvelpatasvir sofvel approved antihcv drug capable suppressing families positivesense rna viruses conserved polymerase may effective sarscov2 study conducted evaluate efficacy sofvel combination addition national standard care versus national standard care alone hydroxychloroquine lopinavirritonavir well supportive care patients moderate severe covid19 infection methods singlecentre randomized openlabelled prospective clinical trial done patients moderate severe covid19 admitted farabi hospital kermanshah province iran eligible patients randomly assigned 11 ratio sofvel arm sofvel plus national standard care control arm national standard care alone main outcome study mortality day 28 randomization secondary outcomes time start medication clinical improvement hospital length stay need mechanical ventilation duration mechanical ventilation conversion rtpcr results positive negative time randomization discharge adverse events evaluated patients started assigned treatment results 11 april 8 june 2020 80 patients recruited randomly assigned sofvel n 40 control n 40 arms primary outcome significantly different two arms p 100 secondary outcomes including time clinical improvement hospital length stay need mechanical ventilation duration mechanical ventilation rtpcr conversion significantly different arms either p 005 sofvel treatment national standard care tolerated similarly conclusions although treatment sofvel safe adding sofvel standard care improve clinical status reduce mortality patients moderate severe covid19 however larger randomized clinical trials including parameters needed accurate estimation efficacy sofvel
9,34019819,"Chemotherapy de-escalation using an (18)F-FDG-PET-based pathological response-adapted strategy in patients with HER2-positive early breast cancer (PHERGain): a multicentre, randomised, open-label, non-comparative, phase 2 trial.",['2021/05/21 20:13'],background several deescalation approaches investigation patients her2positive earlystage breast cancer assessed early metabolic responses neoadjuvant trastuzumab pertuzumab using 18ffluorodeoxyglucose 18ffdgpet 18ffdgpet possibility chemotherapy deescalation using pathological responseadapted strategy methods multicentre randomised openlabel noncomparative phase 2 trial 45 hospitals spain france belgium germany uk italy portugal eligible participants women aged 18 years older centrally confirmed her2positive stage iiiia invasive operable breast cancer 15 cm tumour size least one breast lesion evaluable 18ffdgpet eastern cooperative oncology group performance status 0 1 baseline left ventricular ejection fraction least 55 randomly assigned participants 14 via interactive response system using central block randomisation block sizes five stratified hormone receptor status either docetaxel 75 mgm2 intravenous carboplatin area concentrationtime curve 6 mgml per min intravenous trastuzumab subcutaneous 600 mg fixed dose pertuzumab intravenous 840 mg loading dose 420 mg maintenance doses group trastuzumab pertuzumab group b hormone receptorpositive patients allocated group b additionally given letrozole postmenopausal 25 mgday orally tamoxifen premenopausal 20 mgday orally centrally reviewed 18ffdgpet scans done randomisation two treatment cycles patients assigned group completed six cycles treatment every 3 weeks regardless 18ffdgpet results patients assigned group b initially received two cycles trastuzumab pertuzumab 18ffdgpet responders group b continued treatment six cycles 18ffdgpet nonresponders group switched six cycles docetaxel carboplatin trastuzumab pertuzumab surgery done 26 weeks last dose study treatment adjuvant treatment selected according neoadjuvant treatment administered pathological response hormone receptor status clinical stage diagnosis coprimary endpoints proportion 18ffdgpet responders group b pathological complete response breast axilla ypt0is ypn0 determined local pathologist surgery eight cycles treatment 3year invasive diseasefree survival patients group b assessed intention treat definitive assessment pathological complete response done primary analysis followup assess invasive diseasefree survival continuing hence data included article safety assessed participants received least one dose study drug healthrelated qualityoflife assessed eortc qlqc30 qlqbr23 questionnaires baseline two cycles treatment surgery trial registered eudract 201600267627 clinicaltrialsgov nct03161353 ongoing findings june 26 2017 april 24 2019 randomly assigned 71 patients group 285 group b median followup 57 months iqr 5360 227 80 285 patients group b 18ffdgpet responders 86 379 95 ci 316445 p00001 compared historical rate 227 pathological complete response common haematological grade 34 adverse events anaemia six 9 68 patients group vs four 1 283 patients group b neutropenia 16 24 vs ten 4 febrile neutropenia 14 21 vs 11 4 serious adverse events occurred 20 29 68 patients group versus 13 5 283 patients group b deaths reported neoadjuvant treatment global health status declined least 10 650 95 ci 465724 355 297417 patients groups b respectively interpretation 18ffdgpet identified patients her2positive earlystage breast cancer likely benefit chemotherapyfree dual her2 blockade trastuzumab pertuzumab reduced impact global health status depending forthcoming results 3year invasive diseasefree survival endpoint strategy might valid approach select patients requiring chemotherapy funding f hoffmannla roche
10,33994796,A Phase I Trial of the MET/ALK/ROS1 Inhibitor Crizotinib Combined with the VEGF Inhibitor Pazopanib in Patients with Advanced Solid Malignancies.,['2021/05/17 05:59'],background crizotinib inhibits alk met ros1 tyrosine kinases development resistance monotherapy issue antiangiogenic properties pazopanib could overcome crizotinib drug resistance additionally antiangiogenic properties crizotinib could augment clinical efficacy pazopanib methods evaluated safety responses patients advanced solid tumors treated crizotinib pazopanib results eightytwo patients median age 53 years range 1878 years enrolled median number prior systemic therapies 3 range 08 able dose escalate dose level 8 crizotinib 250 mg twice daily pazopanib 800 mg daily mtd identified grade 3 4 toxicities seen 32 patients highest prevalence fatigue n9 11 diarrhea n6 7 vomiting n3 4 anemia n2 2 alt increased n2 2 82 patients 61 74 measurable disease recistv11 reached first restaging 6 weeks partial response pr observed 661 10 patients stable disease sd lasting 6 months observed 1061 patients 16 total 1661 26 patients sd 6 monthspr conclusion dose level 6 crizotinib 200 mg twice daily pazopanib 600 mg daily tolerable dosing combination used future studies also observed moderate clinical activity patients advanced solid tumors received numerous prior therapies
