Unnamed: 0,pubmed_id,Title,CreatedDate,Abstract
11,33989558,"Loncastuximab tesirine in relapsed or refractory diffuse large B-cell lymphoma (LOTIS-2): a multicentre, open-label, single-arm, phase 2 trial.",['2021/05/14 20:09'],background patients relapsed refractory diffuse large bcell lymphoma dlbcl respond progressive disease salvage therapies poor prognosis loncastuximab tesirine cd19directed antibodydrug conjugate encouraging phase 1 singleagent antitumour activity acceptable safety nonhodgkin lymphoma aimed evaluate antitumour activity safety loncastuximab tesirine patients relapsed refractory dlbcl methods multicentre 28 hospital sites usa uk italy switzerland openlabel singlearm phase 2 trial lotis2 patients aged 18 years older relapsed refractory dlbcl two multiagent systemic treatments measurable disease eastern cooperative oncology group performance status 02 eligible patients received loncastuximab tesirine intravenously day 1 21day cycle 150 mugkg two cycles 75 mugkg thereafter 1 year disease relapse progression unacceptable toxicity death major protocol deviation pregnancy patient investigator sponsor decision primary endpoint overall response rate assessed central review primary antitumour activity safety analyses done astreated population patients received least one dose loncastuximab tesirine responding patients least 6 months followup initial documented response enrolment complete trial registered clinicaltrialsgov nct03589469 findings aug 1 2018 sept 24 2019 184 patients assessed eligibility 145 79 enrolled received least one dose loncastuximab tesirine including patients highrisk characteristics poor prognosis doublehit triplehit transformed primary refractory dlbcl 70 145 patients complete partial response overall response rate 483 95 ci 399567 35 complete response 35 partial response common grade 3 higher treatmentemergent adverse events neutropenia 37 26 145 patients thrombocytopenia 26 18 increased gammaglutamyltransferase 24 17 serious adverse events reported 57 39 145 patients treatmentemergent adverse events fatal outcome occurred eight 6 145 patients none considered related loncastuximab tesirine interpretation loncastuximab tesirine substantial singleagent antitumour activity produces durable responses acceptable safety profile potentially offering new therapeutic option heavily pretreated patients relapsed refractory dlbcl funding adc therapeutics
12,33947099,Assessment of Body Composition and Dietary Intake in Nursing-Home Residents: Could Lessons Learned from the COVID-19 Pandemic Be Used to Prevent Future Casualties in Older Individuals?,['2021/05/05 01:03'],population older adults especially living nursing homes growing sedentary lifestyle possible poor nutrition nursing homes place residents nhrs risk body composition impairments malnutrition subsequently numerous chronic diseases aim study assess body composition including body fluids dietary intake nhrs association osteosarcopenic adiposity syndrome osa components osteopenic adiposity oa sarcopenic adiposity sa adiposityonly ad specific macro micronutrients evaluated well study included 84 participants 821 women aged 653952 years body composition assessed advanced bioelectrical impedance device biaaccr dietary intake assessed via 24h recall analyzed using nutrition software majority 95 participants overweight high body fat low muscle bone mass leading high prevalence osa 50 oa 13 ad 26 participants sa analyzed highest extracellular watertotal body water ratio observed osa participants indicating heightened inflammatory state participants three body composition categories similar nutrient intake protein fiber omega3 fatty acids almost micronutrients far recommendations conclusion high prevalence osa among nhrs accompanied poor dietary intake could place residents high risk covid19 infections therefore optimization body composition nutritional status included along standard medical care order provide better health maintenance particularly covid19 era
13,33916192,"The Effectiveness of Probiotic Lactobacillus rhamnosus and Lactobacillus casei Strains in Children with Atopic Dermatitis and Cow's Milk Protein Allergy: A Multicenter, Randomized, Double Blind, Placebo Controlled Study.",['2021/04/30 01:02'],probiotics seem promising effects prevention treatment allergic conditions including atopic dermatitis ad food allergy purpose multicenter randomized placebocontrolled trial evaluate effectiveness probiotic preparation comprising lactobacillus rhamnosus lock 0900 lactobacillus rhamnosus lock 0908 lactobacillus casei lock 0918 children 2 years age ad cows milk protein cmp allergy study enrolled 151 children whoapart treated cmp elimination dietwere randomized receive probiotic preparation daily dose 109 bacteria placebo three months subsequent ninemonth followup primary outcomes included changes ad symptom severity assessed scoring ad scorad index proportion children symptom improvement scorad score decreased least 30 comparison baseline threemonth intervention probiotic placebo groups showed significant p 00001 decrease scorad scores maintained nine months later percentage children showed improvement significantly higher probiotic placebo group odds ratio 256 95 confidence interval ci 11358 p 0012 three months probiotics induced scorad improvement mainly allergen sensitized patients 603 95 ci 1851967 p 0001 positive effect observed nine months results showed mixture probiotic lock strains offers benefits children ad cmp allergy research necessary assess effect probiotic supplementation development immune tolerance nct04738565
14,33909203,Neratinib + capecitabine sustains health-related quality of life in patients with HER2-positive metastatic breast cancer and >/= 2 prior HER2-directed regimens.,['2021/04/28 12:27'],purpose characterize healthrelated quality life hrqol patients human epidermal growth factor receptor 2 her2positive metastatic breast cancer mbc nala phase 3 study methods nala nct01808573 patients randomized 11 neratinib capecitabine n c lapatinib capecitabine l c hrqol assessed using seven prespecified scores european organisation research treatment cancer quality life questionnaire core module qlqc30 breast cancerspecific questionnaire qlqbr23 baseline every 6 weeks descriptive statistics summarized scores time mixed models evaluated differences treatment arms kaplanmeier methods used assess time deterioration hrqol scores 10 points results 621 patients randomized nala patients included hrqol analysis completed baseline least one followup questionnaire summary global health status physical functioning fatigue constipation systemic therapy side effects scores stable time persistent differences treatment groups differences time deterioration ttd qlqc30 summary score treatment arms hazard ratio hr n c vs l c 094 95 ci 063140 diarrhea score worsened significantly n c arm compared l c arm remained time hr ttd n c vs l c 171 95 ci 132223 conclusion nala patients treated n c maintained global hrqol time despite worsening diarrhearelated scores results may help guide optimal treatment selection her2positive mbc
15,33902485,Predicting outcomes in older ED patients with influenza in real time using a big data-driven and machine learning approach to the hospital information system.,['2021/04/27 05:39'],background predicting outcomes older patients influenza emergency department ed machine learning ml never implemented therefore conducted study clarify clinical utility implementing ml methods recruited 5508 older ed patients 65 years old three hospitals 2009 2018 patients randomized 7030 split model training testing using 10 clinical variables electronic health records prediction model using synthetic minority oversampling technique preprocessing algorithm constructed predict five outcomes results best areas curves predicting outcomes random forest model hospitalization 0840 pneumonia 0765 sepsis septic shock 0857 xgboost intensive care unit admission 0902 logistic regression inhospital mortality 0889 testing data predictive model applied hospital information system assist physicians decisions real time conclusions ml promising way assist physicians predicting outcomes older ed patients influenza real time evaluations effectiveness impact needed future
16,33882374,Study of the SARS-CoV-2-specific immune T-cell responses in COVID-19-positive cancer patients.,['2021/04/21 20:10'],background cancer patients considered highly vulnerable covid19 pandemic however delaying cancerspecific therapies could deleterious effect survival potential suppressive effects chemotherapies cancerrelated microenvironment raised question cancer patients immune system responds sarscov2 virus methods started prospective monocentric trial entitled covcrem nct04365322 april 2020 primary objective trial assess specific immune responses intensity diversity sarscov2 infected patients results study showed cancer patients 28 solid tumours 11 haematological malignancies exposed sarscov2 produced high rate specific antibodies observed patients without cancer history n 29 however results highlight lack generation tcell responses covn proteins sarscov2 virus suggesting cancer patients failed mount protective tcell immunity nevertheless sarscov2 infection impair established immune memory since specific responses common viruses hampered cancer patients conclusion given severity unknown evolution ongoing covid19 pandemic fundamental importance integrate cancer patients vaccination programs
17,33877728,"Effects of melatonin supplementation on serum oxidative stress markers and disease activity in systemic lupus erythematosus patients: A randomised, double-blind, placebo-controlled trial.",['2021/04/20 12:31'],background considering pathological significance oxidative stress systemic lupus erythematosus sle current research aimed evaluate effects melatonin supplementation oxidative stress markers disease activity sle method randomised doubleblind placebocontrolled trial 32 sle females selected randomly assigned two groups take 10 mgday melatonin placebo 12 weeks trial serum malondialdehyde mda total antioxidant capacity tac measured disease activity determined systemic lupus erythematosus disease activity index 2000 sledai2k results twentyfive patients 13 melatonin 12 placebo groups completed trial melatonin supplementation caused significant reduction serum mda compared baseline p 003 placebo group p 004 serum tac level change significantly melatonin group compared baseline placebo group p 05 furthermore melatonin supplementation cause significant change disease activity compared baseline placebo group p 05 conclusion study demonstrated affirmative effects melatonin decreasing oxidative stress sle patients without effect disease activity investigations required affirm primitive findings achieve concise conclusionswhats known free radical damage oxidative stress remarkable function systemic lupus erythematosus sle pathogenesis products derived oxidative modification cascades found biological fluids redundancy correlation disease activity organ damage sle dietary supplements decrease oxidative stress would useful managing sle melatonin potent antioxidant antiinflammatory immunomodulatory characteristics limited vitro animal studies available indicating desirable effects melatonin preventing sle organ damage thereby opening new area investigation contribute using melatonin therapy cotherapy sle whats new melatonin supplementation caused significant reduction serum mda compared baseline placebo group serum tac level change significantly melatonin group compared baseline placebo group furthermore melatonin supplementation cause significant change disease activity compared baseline placebo group
18,33877274,Effect of Poloxamer 188 vs Placebo on Painful Vaso-Occlusive Episodes in Children and Adults With Sickle Cell Disease: A Randomized Clinical Trial.,['2021/04/20 12:18'],importance although effective agents available prevent painful vasoocclusive episodes sickle cell disease scd diseasemodifying therapies ongoing painful vasoocclusive episodes treatment remains supportive previous phase 3 trial poloxamer 188 reported shortened duration painful vasoocclusive episodes scd particularly children participants treated hydroxyurea objective reassess efficacy poloxamer 188 vasoocclusive episodes design setting participants phase 3 randomized doubleblind placebocontrolled multicenter international trial conducted may 2013 february 2016 included 66 hospitals 12 countries 60 cities 388 individuals scd hemoglobin ss sc sbeta0 thalassemia sbeta thalassemia disease aged 4 65 years acute moderate severe pain typical painful vasoocclusive episodes requiring hospitalization included interventions 1hour 100mgkg loading dose poloxamer 188 intravenously followed 12hour 48hour 30mgkgh continuous infusion n 194 placebo n 194 main outcomes measures time hours randomization last dose parenteral opioids among participants among younger 16 years separate subgroup results 437 participants assessed eligibility 388 randomized mean age 152 years 176 454 female primary outcome available 384 990 15day followup contacts available 357 920 30day followup contacts available 368 948 significant difference groups mean time last dose parenteral opioids 818 h poloxamer 188 group vs 778 h placebo group difference 40 h 95 ci 78 157 geometric mean ratio 12 95 ci 1015 p 09 based significant interaction age treatment p 01 treatment difference time randomization last administration parenteral opioids participants younger 16 years 887 h poloxamer 188 group vs 719 h placebo group difference 168 h 95 ci 17320 geometric mean ratio 14 95 ci 1118 p 008 adverse events common poloxamer 188 group placebo group included hyperbilirubinemia 127 vs 52 common placebo group included hypoxia 120 vs 53 conclusions relevance among children adults scd poloxamer 188 significantly shorten time last dose parenteral opioids vasoocclusive episodes findings support use poloxamer 188 vasoocclusive episodes trial registration clinicaltrialsgov identifier nct01737814
19,33868301,Lung Neutrophilic Recruitment and IL-8/IL-17A Tissue Expression in COVID-19.,['2021/04/19 06:21'],new sarscov2 virus differs pandemic influenza virus h1n1 subtype h1n1pmd09 induces proinflammatory response infected patients study aims evaluate involvement snps tissue expression il17a neutrophils recruitment postmortem lung samples patients died severe forms covid19 comparing died h1n1pdm09 twenty lung samples patients sarscov2 infected covid19 group 10 lung samples adults died severe respiratory h1n1pdm09 infection h1n1 group tested tissue expression il8il17a identified immunohistochemistry hematoxylin eosin stain slides used neutrophil scoring dna extracted paraffin blocks genotyping done real timepcr two il17a target polymorphisms tissue expression increasing il8il17a higher number neutrophils identified samples h1n1 group compared covid19 group distribution genotype frequencies il17a gene statistically significant groups however g allele gg ga rs3819025 correlated higher tissue expression il17a covid19 group sarscov2 virus evokes exacerbated response hosts immune system differs observed h1n1pdm09 infection since il8il17a tissue expression lung neutrophilic recruitment may decreased snp rs3819025 ga g allele may considered risk allele patients died covid19
20,33861459,Protective Effects of Intravenous Magnesium Sulfate in Stroke Patients Receiving Amiodarone: A Randomized Controlled Trial.,['2021/04/16 12:20'],antiarrhythmic agents like amiodarone interfere different stages ischemic stroke however amiodarone accompanied immunological pulmonary complications adverse neurological effects hypothesize magnesium sulfate combination amiodarone holds promise stroke treatment thirtysix patients confirmed diagnosis ischemic stroke atrial fibrillation received bolus amiodarone randomly assigned magnesium sulfate every 24 h similar volume normal saline placebo 5 days various severity test scores used evaluate symptoms routing biochemistry also measured days 1 5 treatment mgso4 results significant reduction serum levels ngal hb tbill il6 il8 snse s100b egf paf crp igg also mgso4 treatment significantly improved rass candida sofa nihss apache scores moreover reduction il6 il8 snse egf apache score increase rass score significantly higher mgso4 group compared placebo intravenous administration mgso4 amiodaronetreated stroke patients improved inflammatory immunological neurological indicators reduced disability icuadmitted ais patients suggesting treatment scheme may prevent amiodaroneinduced complications patients
21,33861441,Effect of Curcumin on Severity of Functional Dyspepsia: a Triple Blinded Clinical Trial.,['2021/04/16 12:19'],backgroundfunctional dyspepsia main cause upper abdominal discomfort affecting 510 world population despite various therapeutic approaches 50 patients functional dyspepsia seek alternative treatments present study evaluated effect curcumin supplementation along famotidine therapy severity functional dyspepsia total 75 patients functional dyspepsia according rome iii criteria allocated intervention n 39 control n 36 groups intervention group treated combination 500 mg curcumin 40 mg famotidine daily 1 month control group received placebo 40 mg famotidine severity dyspepsia symptoms determined using hong kong questionnaire baseline 1 month treatment 1 month followup presence h pylori antigens stool samples also investigated subjects significant difference observed intervention control groups biochemical indices severity dyspepsia rate h pylori infection significant decrease observed severity dyspepsia p 0001 rate h pylori infection p 0004 immediately treatment followup curcumin intervention group study indicated curcumin therapy could favorable supplementation symptom management functional dyspepsia moreover curcumin could help efficient eradication h pylori patients
22,33861440,Therapeutic Effect of Curcumin in Women with Polycystic Ovary Syndrome Receiving Metformin: A Randomized Controlled Trial.,['2021/04/16 12:19'],polycystic ovary syndrome pcos common cause anovulatory infertility insulin sensitizer metformin used therapeutically shown curcumin also exhibits insulinsensitizing properties given metformin acts ovulation inducing agent curcumin metformin reduce insulin resistance aim current study evaluate effect metformin without curcumin nanomicelles treatment women polycystic ovary syndrome clinical trial conducted 100 women pcos diagnosed according rotterdam criteria sequentially recruited randomly divided two groups n 50 group 1 received 500 mg metformin three times daily group 2 received 80 mgday capsule curcumin nanomicelle 500 mg metformin three times day 3 months collecting fasting blood samples biochemical parameters including triglycerides highdensity lipoprotein cholesterol hdlc lowdensity lipoprotein cholesterol ldlc total cholesterol plasma glucose alanine amino transferase alt aspartate aminotransferase ast evaluated based enzymatic methods hormonal parameters assessed using immunoassay kits insulin resistance homair insulinsensitivity check index quicki also assessed treatment fasting insulin homair total testosterone group 2 significantly lower group 1 p 005 posttreatment ldlc levels groups 1 2 1179 24 9112 1946 mgdl respectively p 001 addition hdlc levels increased curcumin group 1 381 436 mgdl group 2 4412 73 mgdl p 005 total cholesterol decreased curcumin level group 1 2079 3984 mgdl group 2 1597 4843 mgdl p 005 decrease triglycerides levels group 1 1416 957 group 2 975 88 mgdl p 001 study showed curcumin synergistic effect metformin improvement insulin resistance lipid profile patients pcos therefore combined use metformin curcumin may therapeutic utility patients pcos
23,33861434,"The Effect of Curcumin Phytosome on the Treatment of Patients with Non-alcoholic Fatty Liver Disease: A Double-Blind, Randomized, Placebo-Controlled Trial.",['2021/04/16 12:19'],nonalcoholic fatty liver disease nafld global health problem increasing prevalence among overweight obese patients strongly associated conditions insulin resistance including type 2 diabetes mellitus t2dm obesity detrimental consequences ranged simple steatosis irreversible hepatic fibrosis cirrhosis curcumin dietary polyphenol potential effect improving nafld therefore aim trial examine effect curcumin supplementation various aspects nafld trial total number 80 patients randomised receive either curcumin 250 mg daily placebo 2 months lipid profiles hepatic enzymes anthropometric indices hepatic fat mass assessed baseline end trial compared within groups grade hepatic steatosis serum aspartate aminotransferase ast levels significantly reduced curcumin group p 0015 p 0007 respectively compared placebo also significant reduction high density lipoprotein hdl levels anthropometric indices groups significant differences two groups low dose phospholipid curcumin supplementation day 2 months showed significant reduction hepatic steatosis enzymes patients nafld compared placebo studies longer duration higher dosages needed assess effect parameters nafld including cardiovascular risk
24,33861432,"The Effect of Curcumin Supplementation on Pulse Wave Velocity in Patients with Metabolic Syndrome: A Randomized, Double-Blind, Placebo-Controlled Trial.",['2021/04/16 12:19'],cardiovascular disease leading cause death many societies arterial stiffness initial sign structural functional changes arterial wall pulse wave velocity pwv gold standard noninvasive evaluation aortic stiffness modifiable cardiovascular risk factor curcumin major component turmeric known antiinflammatory antioxidative effects since arterial stiffness affected inflammation oxidative stress may improved curcumin supplementation purpose clinical trial investigate potential effects curcumin improving arterial stiffness patients metabolic syndrome placebocontrolled doubleblind randomized clinical trial conducted among metabolic syndrome patients sixtysix eligible individuals randomly assigned active intervention control groups active intervention group received curcumin supplement dose 500 mg daily 12 weeks whereas control group received placebo capsule physical activity daily dietary energy intake anthropometric body composition biochemical hemodynamic arterial stiffness parameters evaluated baseline end study body weight decreased significantly curcumin group compared placebo also curcumin intervention improved pwv remained significant adjustment potential confounding factors p 0011 current clinical trial demonstrated daily intake 500 mg curcumin 12 weeks lead improvement arterial stiffness weight management among subjects metabolic syndrome
25,33849723,"An open-label, comparative, single dose, clinical Phase study to assess the safety and immunogenicity of typhoid conjugate vaccine (Vi-CRM197) in healthy Filipino adults.",['2021/04/14 05:46'],injectable typhoid conjugate vaccine tcv provides longerlasting protection requires fewer doses suitable children aged 2 years addition tcv preferred ages owing improved immunological properties overcomes limitation vi polysaccharide vaccines assessed safety tolerability immunogenicity tcv vicrm197 termed eutcv openlabel clinical phase study healthy filipino adults study conducted 75 healthy adults aged 1845 years randomized 111 ratio based vaccines administered eutcv test typbartcvr prequalified vaccine typhim vir vi polysaccharide vaccine study vaccines administered dose 25 microg vicrm197 conjugate intramuscular injection single dose 25 participantsgroup immunogenicity overall safety assessed 42 days postvaccination study participants n 25group completed trial without dropouts deaths saes events leading premature withdrawal study antivi igg antibody titer geometric mean titer eutcv group day 42 65325 95 ci 36860 115771 significantly higher prequalified tcv 24795 95 ci 16164 38033 p 00055 vi polysaccharide vaccine 7998 95 ci 3800 16835 p 00001 moreover seroconversion rate eutcv typbartcvr 100 typhim vir 84 igg13 subclass titers serum bactericidal assay results eutcv group showed higher better bactericidal capacity groups eutcv well tolerated exhibited acceptable safety profile study population vicrm197 conjugate dose 25 mug may considered effective terms efficacy safety clinicaltrialsgov registration number nct03956524
